Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.2939634,-0.006590,0.052474,1.015309,1.016685,2.981700,97.157814
0.2959631,-0.006346,0.052474,1.013845,1.015222,2.984390,96.895309
0.2979629,-0.006102,0.053206,1.013357,1.014771,3.025239,96.542038
0.2999627,-0.006834,0.055647,1.013357,1.014906,3.166814,97.001266
0.3019625,-0.006834,0.058087,1.012380,1.014068,3.306478,96.709839
0.3039622,-0.006834,0.058331,1.011648,1.013351,3.322427,96.682014
0.3059619,-0.008298,0.061504,1.007987,1.009896,3.523256,97.683983
0.3079616,-0.011227,0.063213,1.003106,1.005158,3.662067,100.071068
0.3099614,-0.012447,0.064189,1.001397,1.003530,3.735702,100.974380
0.3119611,-0.014644,0.065409,0.993343,0.995602,3.860315,102.619324
0.3139609,-0.016108,0.066386,0.990170,0.992524,3.946551,103.639053
0.3159607,-0.017329,0.066874,0.986021,0.988438,4.007657,104.527199
0.3179605,-0.018793,0.066142,0.981628,0.984033,4.006826,105.861588
0.3199602,-0.018793,0.066874,0.979432,0.981892,4.056806,105.696526
0.3219599,-0.017817,0.068582,0.975283,0.977853,4.155532,104.562759
0.3239597,-0.017085,0.068582,0.973086,0.975649,4.154259,103.988258
0.3259594,-0.015620,0.069070,0.972842,0.975416,4.163301,102.742996
0.3279591,-0.011471,0.069314,0.972842,0.975375,4.130621,99.396881
0.3299589,-0.009030,0.070535,0.972842,0.975437,4.180576,97.295753
0.3319587,-0.006346,0.070047,0.973574,0.976111,4.131996,95.176430
0.3339584,-0.001708,0.069314,0.978455,0.980909,4.053329,91.411934
0.3359580,-0.001708,0.069314,0.978455,0.980909,4.053329,91.411934
0.3379577,0.001464,0.068338,0.981628,0.984005,3.983248,88.772423
0.3399575,0.002929,0.068826,0.984557,0.986964,4.002376,87.563354
0.3419572,0.004149,0.069070,0.986265,0.988690,4.013175,86.562332
0.3439569,0.003661,0.067850,0.989926,0.992256,3.926604,86.911499
0.3459567,0.005613,0.066142,0.994564,0.996776,3.818391,85.148880
0.3479565,0.005125,0.066874,0.995784,0.998040,3.853258,85.617287
0.3499562,0.005613,0.066630,0.997492,0.999731,3.834970,85.184258
0.3519559,0.004637,0.066874,0.998469,1.000716,3.840940,86.033287
0.3539557,0.003173,0.066386,1.003106,1.005305,3.790597,87.263680
0.3559554,0.002929,0.066386,1.004570,1.006766,3.784445,87.473885
0.3579551,0.002441,0.066386,1.006523,1.008713,3.776106,87.894485
0.3599549,0.000488,0.067118,1.009208,1.011437,3.804931,89.583313
0.3619547,-0.001220,0.069558,1.011648,1.014037,3.933978,91.005089
0.3639544,-0.000976,0.070291,1.011892,1.014331,3.974044,90.795723
0.3659541,-0.000732,0.068826,1.014333,1.016666,3.882016,90.609505
0.3679538,-0.001953,0.068582,1.017262,1.019573,3.858539,91.630753
0.3699536,-0.002441,0.071511,1.017750,1.020262,4.021607,91.954727
0.3719533,-0.004637,0.070535,1.022387,1.024828,3.955077,93.761436
0.3739530,-0.004881,0.071267,1.024096,1.026584,3.990027,93.918251
0.3759528,-0.004393,0.071267,1.027024,1.029503,3.977000,93.527466
0.3779526,-0.006102,0.070535,1.031173,1.033601,3.927651,94.944077
0.3799523,-0.006346,0.070047,1.032882,1.035274,3.895561,95.176430
0.3819520,-0.003417,0.068826,1.037275,1.039561,3.800761,92.842140
0.3839518,-0.003173,0.067850,1.040692,1.042906,3.734339,92.677345
0.3859515,-0.001953,0.066630,1.041668,1.043799,3.661479,91.678520
