Keuwl Accelerometer Data File
2021-04-30 04-10-13

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
22.1899815,0.071828,0.112531,9.768641,9.769553,0.782847,57.449997
22.1919823,0.083800,0.119714,9.759064,9.760158,0.857750,55.007980
22.1939812,0.083800,0.119714,9.751882,9.752976,0.858434,55.007980
22.1959801,0.083800,0.110137,9.761458,9.762440,0.812288,52.733601
22.1979809,0.079011,0.112531,9.775824,9.776791,0.805758,54.926247
22.1999798,0.088588,0.114925,9.773430,9.774507,0.850418,52.373764
22.2019806,0.088588,0.114925,9.780613,9.781690,0.850188,52.373764
22.2039795,0.083800,0.114925,9.773430,9.774465,0.833687,53.901718
22.2059803,0.090982,0.117319,9.778218,9.779346,0.869982,52.206055
22.2079792,0.093377,0.110137,9.780613,9.781679,0.846035,49.707855
22.2099800,0.095771,0.117319,9.783007,9.784179,0.886911,50.774326
22.2119789,0.095771,0.124502,9.775824,9.777085,0.920474,52.431408
22.2139778,0.088588,0.119714,9.773430,9.774565,0.873125,53.498558
22.2159786,0.086194,0.110137,9.775824,9.776824,0.819722,51.952961
22.2179775,0.090982,0.119714,9.761458,9.762616,0.882487,52.765167
22.2199783,0.090982,0.114925,9.756670,9.757771,0.860938,51.632515
22.2219772,0.090982,0.122108,9.754275,9.755464,0.894381,53.310276
22.2239780,0.083800,0.117319,9.754275,9.755341,0.846729,54.462322
22.2259769,0.076617,0.110137,9.756670,9.757592,0.787830,55.175510
22.2279758,0.076617,0.110137,9.766247,9.767168,0.786836,55.175510
22.2299767,0.079011,0.105348,9.754275,9.755164,0.773543,53.130104
22.2319756,0.074223,0.112531,9.761458,9.762389,0.791300,56.592175
22.2339764,0.067040,0.124502,9.768641,9.769665,0.829215,61.699242
22.2359753,0.055068,0.119714,9.761458,9.762348,0.773543,65.297569
22.2379761,0.062251,0.117319,9.759064,9.759968,0.779842,62.049030
22.2399750,0.064645,0.131685,9.761458,9.762561,0.861165,63.853161
22.2419758,0.076617,0.124502,9.780613,9.781706,0.856608,58.392498
22.2439747,0.081405,0.119714,9.766247,9.767320,0.849267,55.784298
22.2459736,0.059857,0.119714,9.766247,9.767164,0.785343,63.434948
22.2479744,0.059857,0.117319,9.754275,9.755165,0.773796,62.969139
22.2499733,0.069434,0.122108,9.749487,9.750499,0.825431,60.376251
22.2519741,0.069434,0.117319,9.759064,9.760016,0.800642,59.381393
22.2539730,0.069434,0.114925,9.761458,9.762382,0.787830,58.861027
22.2559738,0.074223,0.114925,9.771035,9.771993,0.802107,57.144276
22.2579727,0.083800,0.134079,9.771035,9.772314,0.927040,57.994617
22.2599716,0.074223,0.126897,9.766247,9.767353,0.862300,59.676392
22.2619724,0.079011,0.114925,9.768641,9.769637,0.818049,55.491478
22.2639713,0.081405,0.114925,9.763853,9.764869,0.826379,54.688786
22.2659721,0.079011,0.119714,9.778218,9.779270,0.840466,56.575188
22.2679710,0.088588,0.126897,9.775824,9.777048,0.906766,55.080597
22.2699718,0.081405,0.119714,9.775824,9.776896,0.848345,55.784298
22.2719707,0.071828,0.112531,9.799767,9.800675,0.780344,57.449997
