Keuwl Accelerometer Data File
2021-04-25 23-01-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3319608,-0.280130,-0.019154,9.854836,9.858835,1.632068,183.911575
0.3339605,-0.277736,-0.064645,9.852441,9.856566,1.657766,193.102783
0.3359603,-0.299284,-0.105348,9.823709,9.828833,1.850020,199.392075
0.3379600,-0.299284,-0.112531,9.828498,9.833697,1.863301,200.606262
0.3399598,-0.253793,0.033520,9.933846,9.937144,1.476180,172.476181
0.3419595,-0.210696,0.146051,9.976943,9.980236,1.471932,145.271011
0.3439593,-0.222668,0.122108,9.909904,9.913157,1.467805,151.260208
0.3459590,-0.260976,0.004789,9.780613,9.784096,1.528799,178.948822
0.3479587,-0.213090,0.009577,9.845258,9.847569,1.241277,177.426636
0.3499585,-0.153234,0.112531,9.902720,9.904545,1.099673,143.707367
0.3519582,-0.112531,0.270553,9.859624,9.863977,1.702379,112.583855
0.3539580,-0.179571,0.244216,9.783007,9.787702,1.774758,126.326828
0.3559577,-0.232245,0.059857,9.632168,9.635153,1.426287,165.547577
0.3579575,-0.299284,-0.031126,9.725544,9.730198,1.772220,185.937424
0.3599572,-0.268159,-0.031126,9.787795,9.791517,1.579915,186.620773
0.3619569,-0.260976,-0.062251,9.780613,9.784292,1.571345,193.416183
0.3639566,-0.311256,-0.232245,9.579494,9.587362,2.321530,216.728607
0.3659564,-0.339987,-0.383084,9.466963,9.480808,3.096866,228.410950
0.3679561,-0.344776,-0.572232,9.481328,9.504836,4.030558,238.930603
0.3699559,-0.265765,-0.658426,9.701602,9.727551,4.185913,248.019211
0.3719557,-0.225062,-0.747014,9.766247,9.797359,4.567375,253.233383
0.3739555,-0.220273,-1.046298,9.799767,9.857924,6.226772,258.111328
0.3759552,-0.217879,-1.180377,9.883567,9.956187,6.924443,259.541809
0.3779549,-0.217879,-1.211503,10.242707,10.316408,6.852803,259.804810
0.3799546,-0.220273,-1.005595,10.498895,10.549243,5.600037,257.644653
0.3819544,-0.258582,-0.912219,10.446221,10.489163,5.186291,254.173843
0.3839541,-0.328016,-0.792505,10.079897,10.116323,4.863612,247.515472
0.3859539,-0.277736,-0.730254,9.778218,9.809381,4.568275,249.176788
0.3879537,-0.213090,-0.663214,9.708784,9.733743,4.103937,252.187805
0.3899534,0.002394,-0.433364,9.648928,9.658655,2.571692,270.316559
0.3919532,0.172388,-0.167599,9.605830,9.608839,1.433814,315.806915
0.3939529,0.215485,-0.043097,9.610620,9.613132,1.309853,348.690063
0.3959526,0.186753,0.205908,9.699207,9.703190,1.641633,47.792702
0.3979524,0.160416,0.323227,9.785401,9.792052,2.111832,63.604965
0.3999521,0.136474,0.517163,9.912297,9.926718,3.088701,75.217270
0.4019519,0.114925,0.634483,9.902720,9.923692,3.725572,79.733208
0.4039516,0.090982,0.670397,9.857229,9.880419,3.926255,82.271362
0.4059514,0.002394,0.720677,9.747093,9.773700,4.228645,89.809647
0.4079511,-0.122108,0.730254,9.699207,9.727426,4.365248,99.492783
0.4099508,-0.189148,0.723071,9.701602,9.730349,4.405267,104.659485
0.4119506,-0.311256,0.687157,9.749487,9.778627,4.424388,114.368706
0.4139503,-0.418998,0.656031,9.830893,9.861662,4.527272,122.565804
0.4159500,-0.454912,0.656031,9.869201,9.901437,4.624655,124.738625
0.4179499,-0.495615,0.644060,9.941029,9.974192,4.673531,127.578888
0.4199496,-0.512375,0.660820,9.962578,9.997608,4.797752,127.788651
0.4219493,-0.507586,0.694340,10.017646,10.054501,4.907241,126.168091
0.4239491,-0.507586,0.720677,10.077502,10.115981,4.999006,125.157761
0.4259488,-0.505192,0.737437,10.079897,10.119454,5.067747,124.413673
0.4279485,-0.529135,0.735042,10.005674,10.046581,5.172180,125.748970
0.4299483,-0.565049,0.701523,9.854836,9.895918,5.222622,128.850082
0.4319480,-0.591386,0.668003,9.799767,9.840294,5.201833,131.518616
0.4339478,-0.612934,0.555472,9.711179,9.746345,4.868644,137.815552
0.4359475,-0.668003,0.493221,9.646533,9.682204,4.919761,143.559647
0.4379472,-0.696734,0.354353,9.620196,9.651900,4.645237,153.042511
0.4399470,-0.756591,0.208302,9.605830,9.637832,4.670386,164.606888
0.4419467,-0.790111,0.138868,9.624985,9.658359,4.764482,170.031647
0.4439465,-0.818842,-0.021548,9.689631,9.724192,4.832092,181.507431
0.4459462,-0.770957,-0.196331,9.646533,9.679283,4.714595,194.287170
0.4479460,-0.730254,-0.270553,9.639350,9.670756,4.618849,200.329254
0.4499457,-0.608146,-0.397450,9.718362,9.745480,4.275259,213.166351
0.4519455,-0.505192,-0.526740,9.857229,9.884212,4.234523,226.196259
0.4539452,-0.481249,-0.584203,9.905115,9.933992,4.369778,230.519318
0.4559449,-0.428575,-0.660820,9.993703,10.024693,4.506326,237.034546
0.4579447,-0.347170,-0.670397,10.067925,10.096191,4.288387,242.622299
0.4599444,-0.325621,-0.644060,10.065532,10.091371,4.101025,243.179932
0.4619441,-0.304073,-0.610540,9.988914,10.012174,3.906204,243.524902
0.4639439,-0.289707,-0.591386,9.953000,9.974762,3.785428,243.900757
0.4659437,-0.268159,-0.567443,9.897932,9.917809,3.628118,244.705811
0.4679435,-0.251399,-0.476461,9.816526,9.831297,3.141116,242.182159
0.4699432,-0.234639,-0.418998,9.778218,9.790004,2.811672,240.751175
0.4719429,-0.210696,-0.308861,9.692024,9.699233,2.209126,235.699341
0.4739427,-0.177176,-0.210696,9.653716,9.657640,1.633387,229.939209
0.4759424,-0.158022,-0.181965,9.653716,9.656724,1.430124,229.028259
0.4779421,-0.134079,-0.134079,9.699207,9.701061,1.120125,225.000000
0.4799419,-0.117319,-0.107742,9.744699,9.746000,0.936491,222.563354
0.4819416,-0.086194,-0.045491,9.802161,9.802646,0.569583,207.824097
0.4839414,-0.079011,0.023943,9.818921,9.819268,0.481733,163.141602
0.4859411,-0.093377,0.043097,9.811738,9.812277,0.600357,155.224854
0.4879408,-0.134079,0.086194,9.842864,9.844154,0.927673,147.264771
0.4899406,-0.169994,0.088588,9.902720,9.904575,1.108888,152.474777
0.4919403,-0.198725,0.083800,9.929058,9.931400,1.244426,157.135498
0.4939401,-0.258582,0.110137,9.936240,9.940214,1.620154,156.929581
0.4959399,-0.299284,0.169994,9.905115,9.911094,1.990168,150.403427
0.4979396,-0.311256,0.208302,9.885961,9.893052,2.169523,146.208344
0.4999394,-0.359141,0.256187,9.878778,9.888623,2.556960,144.498474
0.5019392,-0.383084,0.284919,9.900327,9.911832,2.760878,143.359970
0.5039389,-0.423787,0.351958,9.936240,9.951499,3.173298,140.290085
0.5059386,-0.459701,0.428575,9.926663,9.946540,3.622771,137.006851
0.5079384,-0.462095,0.462095,9.893144,9.914704,3.779268,135.000000
0.5099382,-0.474066,0.531529,9.792584,9.818451,4.159865,131.729507
0.5119381,-0.421392,0.572232,9.711179,9.737146,4.185351,126.367996
0.5139378,-0.407027,0.591386,9.682447,9.709026,4.240485,124.538048
0.5159376,-0.366324,0.610540,9.672871,9.699039,4.209800,120.963753
0.5179374,-0.313650,0.636877,9.723150,9.749033,4.175982,116.219383
0.5199371,-0.301679,0.644060,9.775824,9.801661,4.161042,115.098465
0.5219369,-0.320833,0.636877,9.914692,9.940305,4.113946,116.737106
0.5239366,-0.339987,0.641666,9.986520,10.012887,4.158971,117.916916
0.5259364,-0.392661,0.658426,10.091868,10.120944,4.344064,120.810318
0.5279362,-0.430969,0.715888,10.077502,10.112086,4.739996,121.048225
